{}	0.00000
{1}	36.00000
{2}	18.00000
{1,2}	18.00000
{3}	12.00000
{1,3}	16.00000
{2,3}	15.00000
{1,2,3}	21.80000
{4}	9.00000
{1,4}	15.00000
{2,4}	13.50000
{1,2,4}	19.50000
{3,4}	12.33333
{1,3,4}	16.73333
{2,3,4}	15.68056
{1,2,3,4}	18.08628
{5}	7.20000
{1,5}	14.40000
{2,5}	12.60000
{1,2,5}	18.60000
{3,5}	11.76000
{1,3,5}	16.10462
{2,3,5}	15.06000
{1,2,3,5}	18.14915
{4,5}	9.98182
{1,4,5}	15.08182
{2,4,5}	13.83312
{1,2,4,5}	17.30893
{3,4,5}	12.83623
{1,3,4,5}	15.97339
{2,3,4,5}	15.03234
{1,2,3,4,5}	18.04038
{6}	6.00000
{1,6}	14.00000
{2,6}	12.00000
{1,2,6}	18.20000
{3,6}	11.40000
{1,3,6}	15.80000
{2,3,6}	14.70000
{1,2,3,6}	18.32500
{4,6}	9.50000
{1,4,6}	14.76667
{2,4,6}	13.46154
{1,2,4,6}	17.18230
{3,4,6}	12.54259
{1,3,4,6}	15.85113
{2,3,4,6}	14.78601
{1,2,3,4,6}	17.88047
{5,6}	8.40000
{1,5,6}	14.17143
{2,5,6}	12.63529
{1,2,5,6}	16.82638
{3,5,6}	11.96842
{1,3,5,6}	15.40486
{2,3,5,6}	14.38251
{1,2,3,5,6}	17.59020
{4,5,6}	10.54242
{1,4,5,6}	14.60079
{2,4,5,6}	13.44594
{1,2,4,5,6}	16.74251
{3,4,5,6}	12.72915
{1,3,4,5,6}	15.62218
{2,3,4,5,6}	14.73291
{1,2,3,4,5,6}	17.02158
{7}	6.00000
{1,7}	42.00000
{2,7}	24.00000
{1,2,7}	19.50000
{3,7}	14.00000
{1,3,7}	17.55556
{2,3,7}	16.60000
{1,2,3,7}	22.58687
{4,7}	11.40000
{1,4,7}	16.60000
{2,4,7}	15.18000
{1,2,4,7}	20.46769
{3,4,7}	14.42564
{1,3,4,7}	17.90855
{2,3,4,7}	16.94859
{1,2,3,4,7}	19.29896
{5,7}	9.92727
{1,5,7}	16.03636
{2,5,7}	14.78182
{1,2,5,7}	19.71818
{3,5,7}	13.64636
{1,3,5,7}	17.36924
{2,3,5,7}	16.59580
{1,2,3,5,7}	19.37639
{4,5,7}	12.03529
{1,4,5,7}	16.39590
{2,4,5,7}	15.46128
{1,2,4,5,7}	18.57989
{3,4,5,7}	14.58268
{1,3,4,5,7}	17.30906
{2,3,4,5,7}	16.62341
{1,2,3,4,5,7}	19.23474
{6,7}	9.00000
{1,6,7}	16.14286
{2,6,7}	13.80000
{1,2,6,7}	19.38393
{3,6,7}	13.33750
{1,3,6,7}	17.33787
{2,3,6,7}	16.06375
{1,2,3,6,7}	19.53716
{4,6,7}	11.63333
{1,4,6,7}	16.40376
{2,4,6,7}	14.89242
{1,2,4,6,7}	18.47041
{3,4,6,7}	14.33403
{1,3,4,6,7}	17.39423
{2,3,4,6,7}	16.20294
{1,2,3,4,6,7}	19.10060
{5,6,7}	10.68230
{1,5,6,7}	15.89346
{2,5,6,7}	14.45006
{1,2,5,6,7}	18.30701
{3,5,6,7}	13.62525
{1,3,5,6,7}	16.87586
{2,3,5,6,7}	15.89644
{1,2,3,5,6,7}	18.87255
{4,5,6,7}	12.33395
{1,4,5,6,7}	16.12022
{2,4,5,6,7}	15.01115
{1,2,4,5,6,7}	18.09093
{3,4,5,6,7}	14.37951
{1,3,4,5,6,7}	17.06516
{2,3,4,5,6,7}	16.22229
{1,2,3,4,5,6,7}	18.42643
{8}	7.20000
{1,8}	43.20000
{2,8}	25.20000
{1,2,8}	20.05714
{3,8}	14.70000
{1,3,8}	18.13750
{2,3,8}	17.20000
{1,2,3,8}	22.97946
{4,8}	12.82500
{1,4,8}	17.27812
{2,4,8}	15.95000
{1,2,4,8}	21.13567
{3,4,8}	14.97244
{1,3,4,8}	18.54721
{2,3,4,8}	17.60298
{1,2,3,4,8}	19.54538
{5,8}	10.80000
{1,5,8}	16.65000
{2,5,8}	15.00000
{1,2,5,8}	20.18112
{3,5,8}	15.43846
{1,3,5,8}	17.97772
{2,3,5,8}	17.04570
{1,2,3,5,8}	19.79717
{4,5,8}	13.12227
{1,4,5,8}	17.09786
{2,4,5,8}	16.02278
{1,2,4,5,8}	18.98123
{3,4,5,8}	15.58628
{1,3,4,5,8}	17.95685
{2,3,4,5,8}	17.15077
{1,2,3,4,5,8}	19.47846
{6,8}	9.92727
{1,6,8}	16.29091
{2,6,8}	16.55065
{1,2,6,8}	20.00260
{3,6,8}	14.04545
{1,3,6,8}	17.65890
{2,3,6,8}	17.24102
{1,2,3,6,8}	20.24840
{4,6,8}	12.78949
{1,4,6,8}	16.87731
{2,4,6,8}	16.37617
{1,2,4,6,8}	19.26040
{3,4,6,8}	14.95384
{1,3,4,6,8}	17.71349
{2,3,4,6,8}	17.17314
{1,2,3,4,6,8}	19.58074
{5,6,8}	11.49091
{1,5,6,8}	16.20301
{2,5,6,8}	15.73830
{1,2,5,6,8}	18.90730
{3,5,6,8}	14.94247
{1,3,5,6,8}	17.41956
{2,3,5,6,8}	16.82449
{1,2,3,5,6,8}	19.37397
{4,5,6,8}	13.31882
{1,4,5,6,8}	16.61423
{2,4,5,6,8}	16.10279
{1,2,4,5,6,8}	18.67811
{3,4,5,6,8}	15.33127
{1,3,4,5,6,8}	17.53787
{2,3,4,5,6,8}	17.02906
{1,2,3,4,5,6,8}	18.80641
{7,8}	9.92727
{1,7,8}	45.92727
{2,7,8}	27.92727
{1,2,7,8}	21.05365
{3,7,8}	15.99870
{1,3,7,8}	19.17543
{2,3,7,8}	18.27013
{1,2,3,7,8}	23.58173
{4,7,8}	14.26656
{1,4,7,8}	18.34213
{2,4,7,8}	17.06584
{1,2,4,7,8}	21.83535
{3,4,7,8}	16.39225
{1,3,4,7,8}	19.39753
{2,3,4,7,8}	18.51880
{1,2,3,4,7,8}	20.45945
{5,7,8}	12.50455
{1,5,7,8}	17.74578
{2,5,7,8}	16.52098
{1,2,5,7,8}	21.01109
{3,5,7,8}	16.54578
{1,3,5,7,8}	18.89080
{2,3,5,7,8}	18.17301
{1,2,3,5,7,8}	20.69628
{4,5,7,8}	14.45767
{1,4,5,7,8}	18.03774
{2,4,5,7,8}	17.19210
{1,2,4,5,7,8}	19.92695
{3,4,5,7,8}	16.80153
{1,3,4,5,7,8}	18.92610
{2,3,4,5,7,8}	18.32867
{1,2,3,4,5,7,8}	20.41312
{6,7,8}	11.77219
{1,6,7,8}	17.79206
{2,6,7,8}	17.52679
{1,2,6,7,8}	20.86287
{3,6,7,8}	15.33928
{1,3,6,7,8}	18.79361
